year,population_size,birth_count,death_count,matched_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius
1,1008,8,0,42,0.704225,24.309859,25.0,0.085901,0.102172,0.2,1,-0.002464,1.004881,2.241519,0.984127,16.0,0.180339
2,983,9,34,42,0.708333,25.055556,25.0,0.087302,0.102572,0.2013,1,0.003737,1.00128,2.237499,0.981689,18.0,0.180692
3,963,8,28,47,0.676976,25.367698,26.0,0.087475,0.102989,0.20225,1,0.00924,0.995073,2.230552,0.98702,12.8,0.181059
4,949,6,20,45,0.689655,25.655172,26.0,0.088772,0.103424,0.20285,1,0.01383,0.993825,2.229153,0.987355,12.0,0.181441
5,939,9,19,44,0.701695,26.135593,27.0,0.088897,0.103878,0.2035,1,0.015345,0.992379,2.227531,0.984617,14.727273,0.181839
6,925,7,21,45,0.691781,25.842466,27.0,0.088806,0.10435,0.2041,1,0.019795,0.986059,2.220426,0.988571,10.888889,0.182252
7,912,8,21,45,0.698997,26.528428,28.0,0.089022,0.104843,0.2048,1,0.026851,0.984423,2.218584,0.982456,16.0,0.182681
8,897,10,25,43,0.714286,26.996678,28.0,0.089989,0.105357,0.20565,8,0.033211,0.986704,2.221152,0.984838,14.285714,0.183128
9,884,7,20,43,0.711409,26.483221,27.0,0.089169,0.105892,0.20615,1,0.036321,0.986549,2.220978,0.988041,10.888889,0.183593
10,875,7,16,44,0.704698,26.57047,27.0,0.089463,0.106451,0.2066,1,0.039319,0.984734,2.218935,0.984,14.0,0.184077
11,867,10,18,47,0.686667,27.093333,27.0,0.090613,0.107033,0.20715,8,0.046292,0.981568,2.215365,0.981084,16.666667,0.18458
12,862,8,13,43,0.711409,27.040268,27.0,0.091045,0.10764,0.2073,1,0.054138,0.982155,2.216027,0.981439,16.0,0.185103
13,848,5,19,43,0.709459,27.655405,27.0,0.093747,0.108274,0.20785,1,0.059294,0.978244,2.21161,0.988208,10.0,0.185646
14,847,10,11,44,0.702703,27.094595,27.0,0.091846,0.108934,0.20815,1,0.064203,0.976081,2.209164,0.980638,16.666667,0.186212
15,841,11,17,43,0.717105,28.480263,28.0,0.093994,0.109623,0.2085,8,0.075921,0.977919,2.211242,0.978165,18.615385,0.1868
16,835,7,13,44,0.71521,29.100324,29.0,0.094482,0.110342,0.2086,8,0.082905,0.978422,2.211811,0.983234,14.0,0.187411
17,827,7,15,44,0.71521,29.268608,29.0,0.095028,0.111092,0.209,8,0.089689,0.976228,2.20933,0.987217,10.888889,0.188047
18,832,11,6,45,0.71246,29.578275,29.0,0.094802,0.111874,0.20895,8,0.09598,0.974733,2.207637,0.973558,22.0,0.188708
19,825,3,10,47,0.699681,29.942492,30.0,0.09597,0.11269,0.2089,8,0.100091,0.970573,2.202922,0.992727,6.0,0.189395
20,828,14,11,48,0.694268,30.267516,30.0,0.096701,0.113542,0.2093,8,0.107965,0.966793,2.198628,0.966184,28.0,0.190109
21,825,14,17,48,0.686275,29.79085,30.0,0.097675,0.114431,0.20945,8,0.115892,0.966067,2.197802,0.974372,21.777778,0.190852
22,825,12,12,48,0.677852,29.288591,30.0,0.098615,0.115358,0.20935,1,0.127614,0.960395,2.191341,0.975354,20.571429,0.191624
23,827,11,9,47,0.681356,29.342373,30.0,0.099804,0.116327,0.2092,1,0.13362,0.954648,2.184775,0.981313,16.133333,0.192426
24,823,9,13,45,0.692833,29.863481,29.0,0.102272,0.117337,0.2093,1,0.138596,0.951846,2.181566,0.982449,14.727273,0.193261
25,817,11,17,47,0.678082,30.178082,30.0,0.103705,0.118392,0.2097,1,0.146286,0.944563,2.173204,0.973072,22.0,0.194128
26,811,10,16,48,0.674576,30.650847,30.0,0.104255,0.119494,0.20995,1,0.155533,0.934026,2.161049,0.975339,20.0,0.195029
27,805,6,12,48,0.671233,30.80137,30.0,0.105847,0.120644,0.21005,1,0.156939,0.928795,2.154988,0.985093,12.0,0.195965
28,806,10,9,51,0.647059,30.99654,30.0,0.107627,0.121846,0.2102,1,0.158854,0.920973,2.145894,0.975186,20.0,0.196938
29,805,8,9,47,0.669014,30.697183,30.0,0.108471,0.1231,0.21015,1,0.163821,0.913229,2.136854,0.980124,16.0,0.197949
30,798,8,15,46,0.674912,30.579505,31.0,0.108438,0.12441,0.2105,1,0.173207,0.910233,2.133346,0.987469,10.666667,0.199
31,795,13,16,47,0.66065,30.259928,30.0,0.109637,0.125779,0.2109,1,0.184568,0.900975,2.122469,0.967296,26.0,0.200092
32,791,4,8,44,0.681159,30.536232,30.0,0.111041,0.127209,0.21065,1,0.186756,0.896848,2.117602,0.989886,8.0,0.201226
33,787,10,14,43,0.687273,30.32,30.0,0.110657,0.128703,0.21115,1,0.195796,0.894424,2.114739,0.979161,16.666667,0.202404
34,783,10,14,46,0.664234,30.875912,31.0,0.113099,0.130264,0.21135,1,0.202787,0.888674,2.10793,0.979055,16.666667,0.203628
35,782,11,12,43,0.680297,30.758364,30.0,0.11477,0.131896,0.21145,1,0.207822,0.884837,2.103375,0.980237,16.133333,0.204899
36,781,8,9,40,0.698113,30.920755,30.0,0.117124,0.133601,0.21135,1,0.217002,0.874972,2.091617,0.979513,16.0,0.20622
37,779,9,11,41,0.683398,30.664093,31.0,0.118853,0.135383,0.2115,1,0.226713,0.873172,2.089464,0.976893,18.0,0.207591
38,775,11,15,42,0.683019,31.864151,32.0,0.120698,0.137247,0.2118,1,0.242051,0.858879,2.072293,0.971613,22.0,0.209015
39,777,11,9,44,0.672862,32.639405,33.0,0.121789,0.139195,0.2117,1,0.246391,0.851442,2.063301,0.971686,22.0,0.210493
40,782,14,9,46,0.660517,33.95572,34.0,0.125762,0.141233,0.2116,1,0.257615,0.84385,2.054081,0.968944,24.5,0.212028
41,777,4,9,45,0.666667,34.933333,36.0,0.129864,0.143364,0.21135,1,0.263009,0.838089,2.047057,0.989704,8.0,0.213621
42,782,13,8,42,0.683019,34.686792,36.0,0.131389,0.145592,0.21155,1,0.273756,0.830547,2.037826,0.971474,22.533333,0.215275
43,773,5,14,40,0.692308,34.561538,36.0,0.133442,0.147923,0.2116,1,0.283706,0.823652,2.029349,0.987063,10.0,0.216992
44,769,8,12,44,0.658915,35.007752,37.0,0.136217,0.150362,0.21195,1,0.293074,0.813219,2.016457,0.983745,12.8,0.218774
45,774,8,3,42,0.665339,34.390438,36.0,0.137562,0.152914,0.2117,1,0.299133,0.809589,2.01195,0.979328,16.0,0.220622
46,771,7,10,43,0.653226,34.540323,35.0,0.139839,0.155585,0.2118,1,0.307594,0.801018,2.001272,0.981842,14.0,0.22254
47,771,7,7,43,0.653226,34.725806,35.0,0.14059,0.15838,0.2118,1,0.313529,0.795177,1.993963,0.981842,14.0,0.22453
48,766,9,14,45,0.635628,34.809717,35.0,0.141503,0.161305,0.21215,1,0.323543,0.781327,1.976521,0.981143,14.727273,0.226594
49,765,9,10,43,0.65873,35.452381,36.0,0.141245,0.164368,0.2122,1,0.331929,0.776599,1.970532,0.981118,14.727273,0.228735
50,763,6,8,47,0.624,35.696,36.0,0.143357,0.167574,0.21215,1,0.338737,0.77101,1.963429,0.984273,12.0,0.230955
51,763,16,16,48,0.61753,36.310757,36.0,0.145243,0.170931,0.21265,1,0.353658,0.754205,1.941913,0.95806,32.0,0.233257
52,760,6,9,47,0.629921,37.685039,38.0,0.148953,0.174446,0.2123,1,0.362606,0.738089,1.921053,0.984211,12.0,0.235644
53,761,12,11,48,0.626459,39.105058,40.0,0.152754,0.178128,0.21255,1,0.372688,0.730159,1.910706,0.973281,20.571429,0.238117
54,765,8,4,48,0.623529,39.858824,41.0,0.156925,0.181984,0.21215,1,0.376855,0.725907,1.905134,0.979085,16.0,0.240681
55,769,13,9,50,0.610895,41.136187,42.0,0.160688,0.186024,0.2122,1,0.384362,0.7169,1.893277,0.96619,26.0,0.243338
56,766,9,12,52,0.601533,42.628352,43.0,0.163955,0.190256,0.21215,1,0.398919,0.700665,1.871717,0.976501,18.0,0.24609
57,771,12,7,51,0.610687,44.328244,45.0,0.16984,0.19469,0.21205,1,0.405437,0.694241,1.863117,0.968872,24.0,0.248941
58,771,16,16,55,0.589552,46.268657,46.5,0.173291,0.199336,0.21225,1,0.425029,0.670014,1.83032,0.963359,28.444444,0.251894
59,767,11,15,57,0.573034,47.340824,47.0,0.177973,0.204204,0.2122,1,0.436425,0.652354,1.806037,0.971317,22.0,0.254951
60,769,14,12,58,0.57037,49.051852,49.0,0.182349,0.209306,0.21225,1,0.449516,0.638864,1.787267,0.963589,28.0,0.258117
61,766,7,10,57,0.568182,49.757576,50.5,0.189192,0.214654,0.21205,1,0.453877,0.631815,1.777379,0.981723,14.0,0.261393
62,768,13,11,56,0.577358,51.426415,52.0,0.194797,0.220259,0.21225,1,0.466115,0.617115,1.75658,0.970954,22.533333,0.264784
63,771,12,9,60,0.548872,52.676692,54.0,0.19878,0.226133,0.21205,1,0.471535,0.610013,1.746443,0.968872,24.0,0.268292
64,768,12,15,59,0.549618,53.427481,54.0,0.204703,0.232292,0.2122,1,0.485104,0.594762,1.724473,0.96875,24.0,0.271921
65,775,17,10,60,0.548872,55.736842,56.5,0.210328,0.238747,0.2121,1,0.498229,0.574425,1.694735,0.960987,30.421053,0.275673
66,777,12,10,58,0.555556,55.639847,56.0,0.213999,0.245515,0.21175,1,0.507956,0.564757,1.680412,0.969112,24.0,0.279553
67,786,14,5,59,0.539062,55.84375,56.0,0.218995,0.25261,0.2114,1,0.515796,0.555078,1.66595,0.964377,28.0,0.283563
68,784,10,12,56,0.552,55.056,56.0,0.221108,0.260048,0.2113,1,0.525137,0.539936,1.64307,0.97449,20.0,0.287708
69,783,6,7,56,0.560784,56.588235,59.0,0.222788,0.267845,0.21115,1,0.532544,0.529122,1.626533,0.984674,12.0,0.291989
70,784,11,10,55,0.563492,57.095238,58.0,0.227471,0.276019,0.21135,1,0.537531,0.519716,1.612011,0.971939,22.0,0.296411
71,782,6,8,54,0.573123,58.58498,59.0,0.23248,0.284588,0.2112,1,0.54154,0.509387,1.595912,0.984655,12.0,0.300977
72,781,10,11,56,0.553785,60.270916,60.0,0.241084,0.293571,0.21145,1,0.549496,0.49795,1.577894,0.979001,16.666667,0.30569
73,791,15,5,61,0.527132,63.310078,64.0,0.246343,0.302987,0.2112,1,0.558234,0.488249,1.562449,0.962073,30.0,0.310554
74,793,14,12,63,0.509728,64.575875,65.0,0.25225,0.312856,0.21105,1,0.566782,0.481152,1.551051,0.976581,19.6,0.315571
75,799,17,11,64,0.509579,66.873563,68.0,0.257206,0.3232,0.2109,1,0.574293,0.471225,1.534968,0.962159,30.421053,0.320745
76,809,17,7,64,0.524164,71.695167,73.0,0.267519,0.334039,0.2104,1,0.583767,0.455465,1.50908,0.957973,34.0,0.32608
77,808,11,12,64,0.520599,73.348315,76.0,0.275746,0.345397,0.21015,1,0.594015,0.444602,1.490977,0.977273,18.615385,0.331577
78,810,16,14,69,0.501805,77.104693,80.0,0.279365,0.357297,0.2103,1,0.609104,0.423914,1.455875,0.960494,32.0,0.337241
79,811,14,13,68,0.50365,78.058394,80.0,0.285928,0.369763,0.21015,1,0.61618,0.410808,1.433193,0.965475,28.0,0.343073
80,812,14,13,69,0.501805,81.039711,84.0,0.293622,0.382819,0.2101,1,0.630029,0.390201,1.396784,0.965517,28.0,0.349077
81,816,14,10,69,0.503597,81.913669,84.0,0.295717,0.396491,0.2099,1,0.639625,0.37658,1.372187,0.970238,24.5,0.355256
82,825,18,9,71,0.496454,84.347518,86.0,0.300169,0.410805,0.20965,1,0.645502,0.364923,1.350782,0.956364,36.0,0.361612
83,833,16,8,73,0.496552,88.855172,91.0,0.307457,0.425788,0.20915,1,0.651641,0.355317,1.332887,0.961585,32.0,0.368147
84,828,11,16,79,0.457045,91.642612,94.0,0.316009,0.441467,0.20915,1,0.658918,0.343504,1.310541,0.97343,22.0,0.374865
85,840,22,10,79,0.462585,95.707483,98.0,0.326647,0.457871,0.2091,1,0.666674,0.329165,1.282896,0.952165,40.333333,0.381766
86,854,23,9,72,0.503448,96.365517,98.0,0.333445,0.475028,0.20845,1,0.670048,0.322073,1.269001,0.954689,39.185185,0.388852
87,857,13,10,71,0.513699,99.253425,99.0,0.341077,0.492967,0.2078,1,0.674323,0.316343,1.257663,0.969662,26.0,0.396126
88,863,14,8,70,0.517241,99.868966,99.0,0.345567,0.511717,0.20755,1,0.678595,0.308156,1.241282,0.967555,28.0,0.40359
89,863,13,13,71,0.512027,102.838488,101.0,0.354615,0.531308,0.2075,1,0.684666,0.296722,1.218036,0.974151,22.533333,0.411243
90,870,22,15,70,0.522184,106.109215,106.0,0.363388,0.551771,0.2076,1,0.689811,0.287765,1.19951,0.957785,37.230769,0.419087
91,875,10,5,69,0.54,111.113333,110.0,0.371616,0.573135,0.20675,8,0.691574,0.28527,1.194299,0.981257,16.666667,0.427124
92,891,21,5,74,0.517915,116.76873,116.0,0.381597,0.595432,0.2065,8,0.695292,0.279548,1.18226,0.957138,38.347826,0.435352
93,909,22,4,81,0.488959,123.375394,121.0,0.390428,0.61869,0.20565,8,0.69742,0.276061,1.174863,0.951595,44.0,0.443774
94,916,16,9,81,0.501538,129.809231,126.0,0.400646,0.642941,0.205,8,0.699723,0.27272,1.167733,0.969159,28.444444,0.452388
95,927,17,6,85,0.480122,134.954128,131.0,0.41397,0.668215,0.2045,8,0.703446,0.2676,1.15672,0.967384,30.421053,0.461193
96,932,14,9,85,0.495549,145.026706,142.0,0.431627,0.69454,0.2041,8,0.707031,0.263695,1.148248,0.973942,24.5,0.47019
97,937,13,8,85,0.492537,148.268657,145.0,0.443918,0.721947,0.2038,8,0.709954,0.258146,1.136104,0.972252,26.0,0.479377
98,944,22,15,90,0.475219,157.725948,155.0,0.461187,0.750462,0.2039,8,0.714995,0.252893,1.124483,0.961094,37.230769,0.488753
99,956,19,7,90,0.478261,163.524638,160.0,0.475362,0.780115,0.20315,8,0.718023,0.24783,1.113172,0.964215,34.380952,0.498315
100,963,16,9,98,0.447887,172.783099,168.0,0.488088,0.81093,0.20265,8,0.720594,0.243862,1.104224,0.974039,25.6,0.508062
101,969,19,13,99,0.446927,180.631285,177.0,0.50597,0.842934,0.2025,8,0.724342,0.23601,1.086301,0.964695,34.380952,0.517991
102,984,23,8,99,0.45,189.144444,187.0,0.526865,0.876151,0.20195,8,0.727445,0.231032,1.074784,0.963856,36.482759,0.528098
103,998,24,10,101,0.454054,200.081081,196.0,0.542225,0.910603,0.2013,8,0.730748,0.225809,1.062564,0.951904,48.0,0.538381
104,1007,16,7,101,0.464191,211.267905,209.0,0.561883,0.94631,0.20045,8,0.732754,0.223359,1.056784,0.971946,28.444444,0.548835
105,1019,20,8,99,0.477573,219.6781,217.0,0.581159,0.983292,0.20005,8,0.735575,0.219308,1.047158,0.960746,40.0,0.559457
106,1020,16,15,101,0.467018,228.817942,226.0,0.605338,1.0,0.1998,8,0.740561,0.212492,1.030757,0.972304,28.444444,0.570241
107,1037,25,8,104,0.45974,242.212987,241.0,0.630763,1.0,0.1994,8,0.743515,0.208167,1.020213,0.961967,40.322581,0.581183
108,1041,19,15,108,0.451777,258.096447,258.0,0.656734,1.0,0.1989,8,0.746164,0.204893,1.012159,0.970373,31.391304,0.592276
109,1055,23,9,107,0.454082,266.127551,265.0,0.680633,1.0,0.1984,8,0.749234,0.200446,1.001113,0.960025,42.32,0.603517
110,1079,31,7,113,0.436409,282.074813,283.0,0.705187,1.0,0.1976,8,0.75214,0.197358,0.993374,0.952585,51.945946,0.614897
111,1108,34,5,116,0.428571,294.054187,296.0,0.72606,1.0,0.1963,8,0.755007,0.193529,0.98369,0.945424,60.842105,0.62641
112,1121,27,14,118,0.42439,304.058537,307.0,0.743419,1.0,0.1953,8,0.758189,0.189045,0.972227,0.958437,47.032258,0.63805
113,1132,27,16,120,0.418886,312.053269,316.0,0.757411,1.0,0.19475,8,0.762362,0.183282,0.957294,0.952297,54.0,0.649809
114,1146,20,6,118,0.434053,323.194245,329.0,0.776909,1.0,0.1937,8,0.763951,0.181423,0.952426,0.968412,36.363636,0.661679
115,1166,27,7,119,0.438679,335.320755,342.0,0.79272,1.0,0.19305,8,0.766387,0.178849,0.945645,0.956991,50.275862,0.673653
116,1167,18,17,124,0.429885,351.806897,360.0,0.810615,1.0,0.19255,8,0.76863,0.174203,0.933283,0.969152,36.0,0.685721
117,1191,32,8,128,0.428571,371.357143,381.0,0.830777,1.0,0.19205,8,0.771084,0.171559,0.926172,0.952561,56.888889,0.697875
118,1210,23,4,131,0.422907,383.30837,393.0,0.846155,1.0,0.19065,8,0.772056,0.169474,0.920528,0.96802,39.185185,0.710107
119,1228,27,9,138,0.39738,394.921397,408.0,0.864161,1.0,0.18995,8,0.77449,0.166208,0.911613,0.962058,47.032258,0.722407
120,1248,29,9,137,0.413276,410.068522,423.0,0.879975,1.0,0.18905,8,0.775849,0.163289,0.903573,0.953526,58.0,0.734767
