experiment,variant,label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_visibility_action_gap_mean,late_action_coverage_mean,late_candidate_pool_multiplier_mean,late_mean_selection_quota,condition,selection_mode,top_k,selectivity_mean,max_candidate_pool_multiplier,action_radius,protected_slots,reserve_fraction,learning,final_mean_region_reserve,final_max_region_reserve
a_radius_alone,local_visible_local_action,"Local visibility, local action",0,1221.0,1532.0,2038,1400.0,1.1466011466011465,0.9983619983619983,,0.18655280000000005,0.03493553333333333,0.9733499000000001,0.0,0.0,0.1333948666666667,1.0,5.507854133333334,radius_aligned,,,,,,,,,,
a_radius_alone,local_visible_local_action,"Local visibility, local action",1,1220.0,1465.0,2025,1264.0,1.0360655737704918,1.0,,0.2289442333333333,0.03290696666666666,0.9584550000000001,0.0,0.0,0.1281701,1.0,4.769084200000001,radius_aligned,,,,,,,,,,
a_radius_alone,local_visible_local_action,"Local visibility, local action",2,1216.0,1572.0,2053,1195.0,0.9827302631578947,0.9827302631578947,,0.22345023333333333,0.034121066666666665,0.9490403333333333,0.0,0.0,0.1290915333333333,1.0,4.441630933333333,radius_aligned,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",0,1225.0,1338.0,2008,907.0,0.7404081632653061,0.7053061224489796,,0.32497903333333333,0.03825996666666666,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",1,1220.0,1314.0,2005,906.0,0.7426229508196721,0.7377049180327869,,0.2897835666666666,0.035703200000000004,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_global_action,"Global visibility, global action",2,1217.0,1312.0,2003,969.0,0.7962202136400987,0.7962202136400987,,0.3269623000000001,0.031066166666666672,1.0,0.0,0.0,1.0,1.0,16.0,radius_aligned_global,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",0,1220.0,1248.0,1990,360.0,0.29508196721311475,0.29508196721311475,2056.0,0.4300451666666668,0.03443436666666667,0.19318826666666666,0.0,0.7643552666666668,0.23564473333333336,1.0,13.1,action_gap_only,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",1,1220.0,1257.0,1985,506.0,0.41475409836065574,0.32459016393442625,2051.0,0.47936436666666665,0.028340200000000003,0.10225776666666668,0.0,0.8527106666666667,0.1472893333333333,1.0,16.0,action_gap_only,,,,,,,,,,
a_radius_alone,global_visible_local_action_no_phantom,"Global visibility, local action, no phantom",2,1216.0,1252.0,1992,281.0,0.23108552631578946,0.23108552631578946,2050.0,0.5229183666666667,0.029670099999999998,0.10126233333333333,0.0,0.8416608,0.15833920000000004,1.0,13.8,action_gap_only,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
a_radius_alone,full_sns_phantom,Full SNS shock with phantom,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,full_mechanism,,,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,0,1221.0,1406.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,1,1219.0,1363.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_8,Top-k 8,2,1218.0,1365.0,2004,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,8.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_16,Top-k 16,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,16.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,0,1221.0,1413.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,top_k_32,Top-k 32,2,1218.0,1372.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,top-k,32.0,,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,0,1221.0,1362.0,2008,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,1,1219.0,1349.0,2005,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_02,Percentile 0.02,2,1218.0,1366.0,2004,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.02,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,0,1221.0,1362.0,2008,1.0,0.000819000819000819,0.000819000819000819,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,1,1219.0,1349.0,2005,2.0,0.0016406890894175555,0.0016406890894175555,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_08,Percentile 0.08,2,1218.0,1366.0,2004,8.0,0.006568144499178982,0.006568144499178982,2058.0,0.9366666666666668,0.006666666666666667,0.010144866666666669,0.6792642,0.26666666666666666,0.43333333333333335,300.0,17.105555566666666,,percentile,,0.08,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,0,1221.0,1365.0,2008,33.0,0.02702702702702703,0.02702702702702703,2065.0,0.8890072,0.006451366666666667,0.010591666666666666,0.9701443333333335,0.42527676666666664,0.5747232333333334,300.0,87.78443453333333,,percentile,,0.18,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,1,1219.0,1346.0,2005,38.0,0.031173092698933553,0.031173092698933553,2062.0,0.631688,0.02082736666666667,0.0037713666666666667,0.9854464333333333,0.42260226666666667,0.5773977333333333,300.0,91.84593629999999,,percentile,,0.18,,,,,,,
b_selection_mode,percentile_0_18,Percentile 0.18,2,1218.0,1368.0,2004,130.0,0.10673234811165845,0.10673234811165845,2066.0,0.5082018333333332,0.03020876666666667,0.012701266666666667,0.9233794,0.7749374,0.22506260000000006,300.0,96.89233453333334,,percentile,,0.18,,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,0,1221.0,1430.0,2012,435.0,0.35626535626535627,0.24651924651924653,2072.0,0.20535326666666665,0.045913100000000005,0.1751811,0.0,0.8253405,0.17465950000000005,1.0,14.033333333333333,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,1,1219.0,1361.0,2005,522.0,0.42821985233798193,0.39950779327317476,2078.0,0.4713515999999999,0.03439333333333334,0.12559106666666667,0.0,0.8424636333333333,0.15753636666666668,1.0,16.0,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_1x,1x perceived pool,2,1218.0,1384.0,2010,438.0,0.35960591133004927,0.33579638752052543,2077.0,0.3864171333333334,0.03437423333333334,0.12456099999999999,0.0,0.8041508333333333,0.19584916666666669,1.0,16.0,,,,,1.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,0,1221.0,1414.0,2010,0.0,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_10x,10x perceived pool,2,1218.0,1374.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,10.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,0,1221.0,1411.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,1,1219.0,1361.0,2005,1.0,0.0008203445447087777,0.0008203445447087777,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_30x,30x perceived pool,2,1218.0,1370.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,30.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_100x,100x perceived pool,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,100.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_300x,300x perceived pool,2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,300.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,0,1221.0,1409.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
c_candidate_multiplier,multiplier_1000x,1000x perceived pool,2,1218.0,1369.0,2010,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,1000.0,,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",0,1221.0,1371.0,2008,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",1,1220.0,1363.0,2005,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_030,"Global visibility, action radius 0.03",2,1217.0,1356.0,2003,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.03,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",0,1221.0,1412.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",1,1219.0,1366.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_060,"Global visibility, action radius 0.06",2,1217.0,1354.0,2004,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.06,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_120,"Global visibility, action radius 0.12",2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.12,,,,,
d_actionability_gap,action_radius_0_240,"Global visibility, action radius 0.24",0,1220.0,1393.0,2010,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.24,,,,,
d_actionability_gap,action_radius_0_240,"Global visibility, action radius 0.24",1,1220.0,1369.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.24,,,,,
d_actionability_gap,action_radius_0_240,"Global visibility, action radius 0.24",2,1218.0,1365.0,2010,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.24,,,,,
d_actionability_gap,action_radius_0_480,"Global visibility, action radius 0.48",0,1220.0,1413.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.48,,,,,
d_actionability_gap,action_radius_0_480,"Global visibility, action radius 0.48",1,1220.0,1373.0,2005,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.48,,,,,
d_actionability_gap,action_radius_0_480,"Global visibility, action radius 0.48",2,1216.0,1352.0,2010,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,0.48,,,,,
d_actionability_gap,action_radius_1_414,"Global visibility, action radius global",0,1224.0,1394.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,1.4142135623730951,,,,,
d_actionability_gap,action_radius_1_414,"Global visibility, action radius global",1,1220.0,1361.0,2005,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,1.4142135623730951,,,,,
d_actionability_gap,action_radius_1_414,"Global visibility, action radius global",2,1216.0,1350.0,2010,1.0,0.0008223684210526315,0.0008223684210526315,2058.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,,,1.4142135623730951,,,,,
e_reserve_threshold_robustness,topk_8_slots_0,"top-k 8, protected slots 0",0,1221.0,1406.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,8.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_8_slots_0,"top-k 8, protected slots 0",1,1219.0,1363.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,8.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_8_slots_0,"top-k 8, protected slots 0",2,1218.0,1365.0,2004,0.0,0.0,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,8.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_8_slots_1,"top-k 8, protected slots 1",0,1221.0,1409.0,2010,112.0,0.09172809172809172,0.09172809172809172,2066.0,0.37253716666666675,0.03649673333333334,0.0824318,0.9175682,0.7628759333333333,0.23712406666666663,300.0,8.0,,,8.0,,,,1.0,0.125,,,
e_reserve_threshold_robustness,topk_8_slots_1,"top-k 8, protected slots 1",1,1219.0,1363.0,2005,93.0,0.07629204265791632,0.07136997538966366,2065.0,0.3401856,0.0467362,0.05151770000000001,0.9484823,0.8881506666666666,0.11184933333333333,300.0,8.0,,,8.0,,,,1.0,0.125,,,
e_reserve_threshold_robustness,topk_8_slots_1,"top-k 8, protected slots 1",2,1218.0,1375.0,2010,114.0,0.09359605911330049,0.09195402298850575,2068.0,0.2679463666666667,0.043555266666666655,0.05957336666666667,0.9404266333333332,0.8441992000000001,0.1558008,300.0,8.0,,,8.0,,,,1.0,0.125,,,
e_reserve_threshold_robustness,topk_8_slots_2,"top-k 8, protected slots 2",0,1221.0,1425.0,2012,865.0,0.7084357084357085,0.6445536445536445,,0.3041253333333333,0.03848926666666666,0.24381730000000001,0.7561827,0.8688349666666665,0.13116503333333332,300.0,8.0,,,8.0,,,,2.0,0.25,,,
e_reserve_threshold_robustness,topk_8_slots_2,"top-k 8, protected slots 2",1,1219.0,1363.0,2005,857.0,0.7030352748154225,0.7013945857260049,,0.3261259666666667,0.03356156666666667,0.2443853,0.7556147000000001,0.8519354,0.1480646,300.0,8.0,,,8.0,,,,2.0,0.25,,,
e_reserve_threshold_robustness,topk_8_slots_2,"top-k 8, protected slots 2",2,1218.0,1374.0,2010,896.0,0.735632183908046,0.729064039408867,,0.3076927333333333,0.03207536666666667,0.24245513333333332,0.7575448666666665,0.8388215,0.16117850000000003,300.0,8.0,,,8.0,,,,2.0,0.25,,,
e_reserve_threshold_robustness,topk_8_slots_4,"top-k 8, protected slots 4",0,1221.0,1448.0,2017,1211.0,0.9918099918099919,0.9336609336609336,,0.24200053333333335,0.034868833333333335,0.45788300000000004,0.542117,0.8325778333333334,0.16742216666666662,300.0,8.0,,,8.0,,,,4.0,0.5,,,
e_reserve_threshold_robustness,topk_8_slots_4,"top-k 8, protected slots 4",1,1219.0,1361.0,2005,1121.0,0.9196062346185397,0.9064807219031994,,0.2646080333333333,0.033421933333333334,0.4487876333333333,0.5512123666666666,0.8303733333333334,0.16962666666666665,300.0,8.0,,,8.0,,,,4.0,0.5,,,
e_reserve_threshold_robustness,topk_8_slots_4,"top-k 8, protected slots 4",2,1218.0,1405.0,2018,1197.0,0.9827586206896551,0.9802955665024631,,0.2529326333333334,0.03167093333333333,0.42186043333333334,0.5781395666666665,0.8804416666666667,0.11955833333333331,300.0,8.0,,,8.0,,,,4.0,0.5,,,
e_reserve_threshold_robustness,topk_8_slots_8,"top-k 8, protected slots 8",0,1221.0,1442.0,2017,1385.0,1.1343161343161343,0.9934479934479934,,0.19764656666666666,0.03534006666666666,0.6113810999999998,0.3886189,0.8747602,0.1252398,300.0,8.0,,,8.0,,,,8.0,1.0,,,
e_reserve_threshold_robustness,topk_8_slots_8,"top-k 8, protected slots 8",1,1219.0,1375.0,2021,1272.0,1.0434782608695652,1.0,,0.1979449333333333,0.033645266666666666,0.5560792333333333,0.4439207666666667,0.8814615333333333,0.11853846666666665,300.0,8.0,,,8.0,,,,8.0,1.0,,,
e_reserve_threshold_robustness,topk_8_slots_8,"top-k 8, protected slots 8",2,1218.0,1410.0,2032,1210.0,0.993431855500821,0.9893267651888341,,0.22044366666666668,0.035237433333333325,0.5700822999999999,0.42991769999999996,0.8624379333333334,0.13756206666666668,300.0,8.0,,,8.0,,,,8.0,1.0,,,
e_reserve_threshold_robustness,topk_16_slots_0,"top-k 16, protected slots 0",0,1221.0,1410.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,16.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_16_slots_0,"top-k 16, protected slots 0",1,1219.0,1361.0,2005,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,16.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_16_slots_0,"top-k 16, protected slots 0",2,1218.0,1375.0,2010,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,16.0,,,,0.0,0.0,,,
e_reserve_threshold_robustness,topk_16_slots_1,"top-k 16, protected slots 1",0,1221.0,1410.0,2010,284.0,0.2325962325962326,0.1941031941031941,2068.0,0.36610060000000005,0.03659796666666666,0.058886,0.941114,0.6158320666666667,0.3841679333333334,300.0,16.0,,,16.0,,,,1.0,0.0625,,,
e_reserve_threshold_robustness,topk_16_slots_1,"top-k 16, protected slots 1",1,1219.0,1361.0,2005,222.0,0.18211648892534865,0.14273995077932733,2066.0,0.2988821,0.035565066666666666,0.055448066666666664,0.9445519333333333,0.662753,0.33724699999999996,300.0,16.0,,,16.0,,,,1.0,0.0625,,,
e_reserve_threshold_robustness,topk_16_slots_1,"top-k 16, protected slots 1",2,1218.0,1375.0,2010,313.0,0.2569786535303777,0.24466338259441708,2070.0,0.3719048999999999,0.033524533333333335,0.05874813333333332,0.9412518666666667,0.7298993333333332,0.2701006666666667,300.0,16.0,,,16.0,,,,1.0,0.0625,,,
e_reserve_threshold_robustness,topk_16_slots_2,"top-k 16, protected slots 2",0,1221.0,1428.0,2012,829.0,0.678951678951679,0.6683046683046683,,0.33462839999999994,0.035642700000000006,0.12149633333333336,0.8785036666666667,0.8346440666666666,0.16535593333333332,300.0,16.0,,,16.0,,,,2.0,0.125,,,
e_reserve_threshold_robustness,topk_16_slots_2,"top-k 16, protected slots 2",1,1219.0,1361.0,2005,837.0,0.6866283839212469,0.6866283839212469,,0.38622583333333327,0.029927366666666667,0.12223726666666666,0.8777627333333334,0.8402237333333334,0.1597762666666667,300.0,16.0,,,16.0,,,,2.0,0.125,,,
e_reserve_threshold_robustness,topk_16_slots_2,"top-k 16, protected slots 2",2,1218.0,1382.0,2010,824.0,0.6765188834154351,0.6748768472906403,,0.35330599999999995,0.031114633333333332,0.12197063333333331,0.8780294000000002,0.8524870333333335,0.14751296666666666,300.0,16.0,,,16.0,,,,2.0,0.125,,,
e_reserve_threshold_robustness,topk_16_slots_4,"top-k 16, protected slots 4",0,1221.0,1446.0,2017,1249.0,1.022932022932023,0.9254709254709255,,0.2319474333333333,0.03624993333333333,0.2197774,0.7802225999999999,0.8650261333333332,0.13497386666666664,300.0,16.0,,,16.0,,,,4.0,0.25,,,
e_reserve_threshold_robustness,topk_16_slots_4,"top-k 16, protected slots 4",1,1219.0,1361.0,2005,1209.0,0.9917965545529123,0.9614438063986874,,0.24744123333333334,0.03189306666666667,0.22947356666666668,0.7705264333333334,0.8401635000000002,0.15983650000000002,300.0,16.0,,,16.0,,,,4.0,0.25,,,
e_reserve_threshold_robustness,topk_16_slots_4,"top-k 16, protected slots 4",2,1218.0,1399.0,2023,1186.0,0.9737274220032841,0.9720853858784894,,0.23854479999999997,0.0331748,0.2172071,0.7827929,0.8526056999999999,0.1473943,300.0,16.0,,,16.0,,,,4.0,0.25,,,
e_reserve_threshold_robustness,topk_16_slots_8,"top-k 16, protected slots 8",0,1221.0,1440.0,2017,1325.0,1.0851760851760852,0.9606879606879607,,0.20253646666666664,0.037324133333333336,0.25684296666666667,0.7431570333333333,0.8867366,0.11326340000000003,300.0,16.0,,,16.0,,,,8.0,0.5,,,
e_reserve_threshold_robustness,topk_16_slots_8,"top-k 16, protected slots 8",1,1219.0,1366.0,2016,1237.0,1.014766201804758,0.9958982772764561,,0.21404223333333333,0.0328744,0.30064660000000004,0.6993534000000001,0.8656895333333332,0.13431046666666668,300.0,16.0,,,16.0,,,,8.0,0.5,,,
e_reserve_threshold_robustness,topk_16_slots_8,"top-k 16, protected slots 8",2,1218.0,1415.0,2058,1243.0,1.0205254515599342,1.0,,0.20844640000000003,0.03511683333333333,0.26611273333333335,0.7338872666666666,0.8710128666666666,0.12898713333333334,300.0,16.0,,,16.0,,,,8.0,0.5,,,
e_reserve_threshold_robustness,topk_16_slots_16,"top-k 16, protected slots 16",0,1221.0,1448.0,2017,1365.0,1.117936117936118,0.9778869778869779,,0.19234883333333336,0.035671800000000004,0.3101289666666666,0.6898710333333334,0.8748395333333334,0.12516046666666666,300.0,16.0,,,16.0,,,,16.0,1.0,,,
